Policy_num,mobile_num,TxnID,Year,Type,Base_Premium,No_Claim_bonus_discount,road_side_assistence_addon,Tyre_addon,Electronic_addon,thirt_party_liablity_premium,Manufaturer,Party_type,registration_date,Car_number
5002,9320861728,892025295261126,2017,New,21882,0,0,0,338,4257,Hyundai,First party,24-11-2013,MH 1 EC 4540
5004,9299074995,916535202330408,2017,New,0,0,0,0,0,4246,Maruti,Third Party,21-04-2014,MH 4 CH 7344
5009,9259667635,854564973263795,2017,Renewal,27767,0,0,0,0,4282,Maruti,First party,04-01-2013,MH 8 WK 4822
5014,9261028642,931660819130413,2017,New,26543,0,357,0,0,4133,Honda,First party,19-05-2013,MH 1 LF 7744
5016,9312984687,918588248985616,2017,Renewal,20545,0,338,0,0,4238,Honda,First party,21-12-2014,MH 4 UC 6045
5020,9265518884,890029039243204,2017,Renewal,26325,1265,0,0,0,4500,Mahindra,First party,07-07-2012,MH 8 WC 6385
5022,9342113555,912911988830982,2017,New,23749,0,0,0,0,4307,Maruti,First party,27-11-2012,MH 2 KQ 3700
5030,9273547438,940180139181157,2017,New,23778,0,0,0,0,4090,Mahindra,First party,16-12-2012,MH 6 TC 3356
5037,9304344602,924416388875097,2017,Renewal,23049,0,0,0,0,4355,Mahindra,First party,26-05-2012,MH 6 NV 2671
5038,9313719631,904799891995141,2017,New,23075,1347,0,0,0,4413,Hyundai,First party,21-12-2014,MH 2 MB 6082
5046,9341023723,880736832550285,2017,New,25447,0,0,0,0,4309,Maruti,First party,24-09-2012,MH 7 JN 5339
5048,9301542007,850778104698434,2017,Renewal,25759,0,0,0,0,4020,Maruti,First party,29-05-2014,MH 6 DV 3170
5052,9269423541,943458240213847,2017,New,22530,0,0,0,0,4411,Mahindra,First party,05-09-2012,MH 8 SA 4114
5053,9311757728,890750453427304,2017,Renewal,24050,0,0,250,316,4021,Honda,First party,06-02-2013,MH 1 CY 9540
